Month of Order Date,Target
Apr-18,10400.0
Apr-18,12000.0
Apr-18,9000.0
Aug-18,9000.0
Aug-18,14000.0
Aug-18,10900.0
Dec-18,9000.0
Dec-18,16000.0
Dec-18,11400.0
Feb-19,11600.0
Feb-19,16000.0
Jan-19,16000.0
Jan-19,11500.0
Jul-18,14000.0
Jul-18,9000.0
Jul-18,10800.0
Jun-18,12000.0
Jun-18,10600.0
Jun-18,9000.0
Mar-19,16000.0
Mar-19,11800.0
May-18,9000.0
May-18,12000.0
May-18,10500.0
Nov-18,11300.0
Nov-18,16000.0
Nov-18,9000.0
Oct-18,9000.0
Oct-18,11100.0
Oct-18,16000.0
Sep-18,9000.0
Sep-18,11000.0
Sep-18,14000.0
